customer_id,transaction_date,transaction_amount
ID0885,2022-10-25,612.14
ID0665,2023-09-14,427.27
ID0902,2021-12-26,955.59
ID1129,2024-11-11,820.29
ID1281,2023-06-04,964.63
ID0040,2024-03-27,889.32
ID0046,2021-05-22,475.33
ID1149,2021-01-23,164.65
ID0763,2021-02-05,298.31
ID1037,2021-01-29,370.02
ID0051,2021-05-09,34.17
ID1116,2022-03-06,294.85
ID0780,2023-07-24,424.61
ID0612,2020-03-04,269.45
ID0949,2020-09-06,681.62
ID0121,2022-05-31,808.09
ID0598,2024-06-05,490.78
ID1144,2022-10-19,573.59
ID0377,2022-01-10,160.72
ID0796,2023-09-15,299.66
ID1263,2021-10-30,628.44
ID0646,2024-05-05,646.14
ID0711,2024-07-24,328.10
ID0383,2022-12-23,91.91
ID0626,2020-07-16,726.72
ID0734,2024-04-30,810.08
ID0939,2022-03-03,139.28
ID0420,2020-07-14,159.41
ID0498,2022-06-09,296.31
ID0891,2022-07-21,396.61
ID0336,2021-10-14,870.14
ID1293,2021-10-20,728.20
ID0193,2022-06-20,238.44
ID0142,2023-10-02,610.22
ID0941,2021-01-01,344.39
ID1038,2021-01-15,775.89
ID0509,2020-11-26,948.72
ID0851,2020-03-23,133.02
ID1062,2023-07-14,38.41
ID0984,2022-08-15,861.83
ID0445,2024-01-07,468.24
ID0323,2022-05-27,271.11
ID0626,2024-01-16,214.72
ID0387,2022-02-06,499.90
ID1253,2021-02-02,613.44
ID0327,2024-01-14,294.18
ID0231,2024-08-27,723.29
ID0837,2024-11-12,689.52
ID0275,2021-06-23,193.40
ID0617,2022-06-18,366.58
ID0665,2020-07-03,191.03
ID0231,2024-08-31,124.54
ID0358,2021-03-13,446.28
ID0146,2020-12-16,871.87
ID0727,2022-03-14,202.39
ID0324,2023-07-28,65.13
ID0166,2022-08-07,96.27
ID0326,2021-10-30,988.61
ID1115,2020-05-06,797.33
ID0658,2021-05-07,317.45
ID0245,2020-11-01,44.19
ID0839,2024-10-04,134.14
ID0940,2022-01-14,685.67
ID1107,2020-02-18,319.31
ID0409,2022-05-17,91.63
ID0836,2022-05-18,614.98
ID0787,2022-02-01,478.11
ID0328,2024-07-02,336.19
ID0267,2023-03-02,863.68
ID0092,2024-12-14,667.18
ID0882,2021-10-28,927.41
ID0114,2024-10-20,968.63
ID1067,2021-11-16,294.18
ID0192,2023-11-17,787.99
ID0971,2022-10-08,604.29
ID0073,2020-12-06,728.18
ID1017,2021-03-30,234.18
ID0635,2023-07-30,894.81
ID0812,2023-03-01,13.04
ID0436,2023-11-06,268.13
ID1066,2024-01-28,698.99
ID0914,2022-11-09,359.82
ID0189,2022-05-10,661.80
ID0243,2020-10-12,763.66
ID0905,2024-05-03,569.69
ID0194,2022-05-29,583.62
ID0759,2021-12-25,812.75
ID0665,2023-01-15,366.27
ID0028,2020-07-20,280.41
ID1189,2020-04-25,867.79
ID0548,2022-05-13,366.67
ID0216,2020-01-12,665.06
ID0831,2024-12-10,756.61
ID0396,2020-07-20,63.83
ID0289,2023-06-23,717.90
ID0536,2024-08-23,653.43
ID0315,2023-08-22,729.48
ID0297,2021-09-17,942.96
ID0288,2021-06-07,831.50
ID1300,2023-09-27,834.30
ID0192,2021-01-06,257.78
ID0736,2021-01-18,343.37
ID0070,2021-03-12,497.91
ID0821,2021-07-17,827.49
ID0154,2020-07-14,37.90
ID1025,2020-04-20,351.72
ID0056,2024-07-17,52.17
